model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
ridge,GOOG,2766,0.04431095128573866,,,0.5227765726681128,0.5041434743719182,0.541346491552487,0.017450046065066997,0.5404916847433117,0.06423070494147701,0.6988430947216197,0.007961615308892389
ridge,GS,2766,0.011590942032939531,,,0.5137481910274964,0.4951086045294231,0.5323496141778903,0.15369183692657398,0.5188133140376266,0.5941297783069079,0.6872740419378164,0.003753516336904017
ridge,HD,2766,0.013887180082063244,,,0.5081492212966316,0.4895027292994564,0.5267730674767496,0.40238662542976045,0.5280695400217312,0.03771952959798433,0.7035430224150397,0.00766689551223021
ridge,INTC,2766,0.013582257714503184,,,0.505274645325573,0.4865901033905856,0.5239444656888704,0.5933245311035458,0.513641324117861,0.38020834214797505,0.7194504699927693,0.003170704975062222
ridge,JNJ,2766,0.027758509148720887,,,0.5215657847046031,0.5029087389584206,0.5401628580524251,0.024654514324722585,0.5222906850308082,0.9392493376391784,0.7310195227765727,0.004730891087435407
ridge,JPM,2766,0.008718965387534269,,,0.5139745916515427,0.4953045140551935,0.5326057508907898,0.14761832631465235,0.5245009074410163,0.2686574002919395,0.6966738973246566,0.00468907854239653
ridge,KO,2766,0.02961323620917642,,,0.5235315578256111,0.5048139032387587,0.5421833442526812,0.014475640425170832,0.52681503101058,0.7306663031112282,0.7433116413593637,-0.0037617144600206043
ridge,MCD,2766,0.03927286865940973,,,0.5212187159956474,0.5025548321426903,0.5398235498695192,0.0271410957877928,0.5324628219078709,0.23676849008483541,0.7241503976861895,0.0063273489908174385
ridge,MMM,2766,0.016739442376317554,,,0.5134155184916607,0.49475580136010533,0.5320379148327424,0.16450636998773113,0.5213923132704859,0.40177947245467566,0.7346348517715112,0.0022358753867977033
ridge,MRK,2766,0.016195151722142788,,,0.5120350109409191,0.4933215719035999,0.5307147745484315,0.21448437948836732,0.5160466812545588,0.6742889439285278,0.7429501084598699,0.0027132999208577813
ridge,MSFT,2766,0.040585561758766125,,,0.5190839694656488,0.5003995055482581,0.5377152085608944,0.047365434646708775,0.5379861868411486,0.048879443392986235,0.6908893709327549,0.011093941435111887
ridge,NVDA,2766,0.026620989246003673,,,0.5059760956175299,0.4873314803305108,0.5246041039720402,0.5425325914122363,0.545816733067729,2.821623530413064e-05,0.5831525668835864,0.005376371945839065
ridge,ORCL,2766,-0.015471378616472686,,,0.5054624908958485,0.4867675684259581,0.524142150882965,0.5799900393516674,0.5375091041514931,0.0008080981154152697,0.7180043383947939,-2.966686800687235e-05
ridge,PEP,2766,0.02666518994711028,,,0.512718023255814,0.49403827636835074,0.5313623126930814,0.1883992773438386,0.5247093023255814,0.20786556069382847,0.7462039045553145,0.005657574615106742
ridge,PFE,2766,-0.02816397713426391,,,0.4921274258513365,0.4734012183276263,0.510875750400654,0.4215811872497093,0.4972537532039546,0.6053977567714545,0.7469269703543022,-0.002995154182781956
ridge,PG,2766,0.009749410931888306,,,0.5177923021060276,0.49911804077553684,0.5364169950292751,0.06452876766550424,0.528322440087146,0.26837597503812793,0.7386117136659436,0.0020374078012194152
ridge,T,2766,-0.01602831129128383,,,0.5117044623262619,0.49296384836480484,0.530412230075964,0.2282459098112179,0.5267008046817849,0.11635073712543201,0.7299349240780911,-0.0037878199576741878
ridge,UNH,2766,0.022660891778294143,,,0.5233611010503441,0.5047113262580174,0.5419459578337729,0.014835905766701452,0.5269829771821803,0.703123090904765,0.7064352856109906,0.0016357757407765572
ridge,VZ,2766,-0.012097940954018149,,,0.4956140350877193,0.47689842525825216,0.5143419442580002,0.6601524617016666,0.5120614035087719,0.08526763510616328,0.7404193781634129,-0.005891133529126735
ridge,WFC,2766,0.019639822996435016,,,0.519810977826245,0.5011265553705861,0.5384401478474863,0.039464836115250174,0.5110868774990912,0.37008884143275633,0.7129428778018799,0.0006336852214525734
ridge,WMT,2766,0.00676137403416111,,,0.520463600144875,0.5018131199989535,0.5390572141279635,0.03302941713011212,0.5335023542194857,0.16971041479526422,0.7223427331887202,0.00255621865412059
ridge,XOM,2766,0.035787128084261925,,,0.514689880304679,0.4960263422231828,0.5333125376314237,0.12759289254819434,0.5107000362713094,0.6891366074744313,0.7324656543745481,0.002168863169685009
lgbm,AAPL,2766,0.048668239395626436,,,0.5300724637681159,0.5114233516332576,0.548637977496458,0.0016804866872614675,0.532608695652174,0.7894660441321373,0.8723788864786696,0.003356183688167147
lgbm,AMZN,2766,0.036734940667585994,,,0.5314989138305576,0.5128578543548835,0.5500524728308817,0.0009920046987609954,0.5347574221578566,0.7313973727365832,0.8561099060014461,-0.0016948497374780214
lgbm,BA,2766,-0.029463296548171817,,,0.5092357841361825,0.4905884856724659,0.5278574173405675,0.34132086733891376,0.5117710974284679,0.7898868795240573,0.8521330441070137,-0.014520252535353606
lgbm,BAC,2766,0.014855483562206348,,,0.5069546120058566,0.48821049583032633,0.5256791971986855,0.47902472245527883,0.5157393850658858,0.35829185296471155,0.8741865509761388,-0.007740433729080953
lgbm,CAT,2766,0.004073280521951817,,,0.5119392185238785,0.4933004134403582,0.5305448817528349,0.21631810545560004,0.5227930535455861,0.2533477208618173,0.8669558929862617,-0.007264435259882518
lgbm,CSCO,2766,0.01178759463480886,,,0.5213737668980636,0.5026418330769015,0.5400457852079349,0.026585885239089883,0.5301424917793204,0.35809088711427134,0.8741865509761388,0.000309061866789917
lgbm,CVX,2766,0.06109183904243757,,,0.5222906850308082,0.5036338163042303,0.5408855654800891,0.020181321624998715,0.5226531351939109,0.9696016210731357,0.8716558206796818,-0.010483991534934178
lgbm,DIS,2766,0.018430385579296653,,,0.508886470801596,0.4902259097142732,0.5275223015557976,0.36063446371329305,0.5030830612985129,0.554925554141485,0.8673174258857556,-0.008198961034109553
lgbm,GE,2766,0.051930991644538745,,,0.5159165751920965,0.4971709768138015,0.5346174905933001,0.09994221687528465,0.5118916941090377,0.6878303440842191,0.8680404916847433,-0.008172528409229551
lgbm,GOOG,2766,0.020998155390679295,,,0.5307302964569776,0.5121020172779163,0.5492733335724718,0.001307751938844085,0.5404916847433117,0.3030216974477615,0.8709327548806941,-0.0010072231787376928
lgbm,GS,2766,-0.0013527771751548484,,,0.518451519536903,0.49981104237376,0.5370407774702658,0.05469812603165644,0.5188133140376266,0.9696388665583249,0.8731019522776573,-0.00800879529684484
lgbm,HD,2766,0.00911153750877484,,,0.5353132922854038,0.5166730617981916,0.5538553908987007,0.0002212162085225053,0.5280695400217312,0.45725152853984996,0.8727404193781634,0.0005756614279867067
lgbm,INTC,2766,0.04157350794719526,,,0.5183703164787196,0.4996790548592168,0.537010306417509,0.056465633810460276,0.513641324117861,0.6333732544813349,0.8492407809110629,0.004482290272603606
lgbm,JNJ,2766,-0.012614154682513957,,,0.5193910837259876,0.5007337423555627,0.5379945003348614,0.04356746980898178,0.5222906850308082,0.7604772088619284,0.881055676066522,-0.01852457610288072
lgbm,JPM,2766,0.00283013327292097,,,0.5201451905626134,0.5014743708240801,0.5387599072149345,0.03608853459207876,0.5245009074410163,0.6471609076253357,0.8731019522776573,-0.00856130854547743
lgbm,KO,2766,0.021037890224665505,,,0.5260853703028092,0.5073688810995527,0.5447288428638266,0.006671729936687937,0.52681503101058,0.9390233657751887,0.8853940708604483,-0.025104028218798202
lgbm,MCD,2766,0.007764990900497521,,,0.524120420747189,0.5054574050354778,0.542716311269,0.011925260745962844,0.5324628219078709,0.38006679458685605,0.8825018076644975,-0.015381759153095143
lgbm,MMM,2766,0.028625908115120714,,,0.5195794053662074,0.5009186933043536,0.5381856492473699,0.04158568751729342,0.5213923132704859,0.8488757996766321,0.8727404193781634,-0.002367695975425521
lgbm,MRK,2766,0.010488590877044438,,,0.5065645514223195,0.4878549647124541,0.5252557697159266,0.503887558504729,0.5160466812545588,0.3205225978512054,0.8767172812725958,-0.008403502586878053
lgbm,MSFT,2766,0.021718616039763022,,,0.5318066157760815,0.5131285879087168,0.5503959356065373,0.0009051735816786587,0.5379861868411486,0.5156916417810482,0.8731019522776573,0.0017587839341181022
lgbm,NVDA,2766,0.05743506625957973,,,0.5432814197754436,0.5246535022941448,0.5617890628061488,5.839818192630477e-06,0.545816733067729,0.7890725526506843,0.8318872017353579,0.0065208152029268
lgbm,ORCL,2766,0.0032972967457390663,,,0.5291332847778587,0.5104358859211559,0.547749283726434,0.002405555511558862,0.5375091041514931,0.37877495524177784,0.8485177151120752,0.0010157221178836995
